GEOID,NAME,Above_Poverty_Households,Above_Poverty_Level,Asian_Alone,Below_Poverty_Female_12_14,Below_Poverty_Female_15,Below_Poverty_Female_16_17,Below_Poverty_Female_5,Below_Poverty_Female_6_11,Below_Poverty_Female_Total,Below_Poverty_Female_Under_5,Black_Alone,Built_1939_Earlier,Built_1940_1949,Built_1950_1959,Built_1960_1969,Built_1970_1979,Built_1980_1989,Built_1990_1999,Built_2000_2009,Built_2010_2019,Built_2020_Later,Children_In_Married_Couple_Families,Children_In_Single_Father_Families,Children_In_Single_Mother_Families,Family_Female_No_Husband,Family_Households,Family_Income_200K_Plus,Family_Male_No_Wife,Family_Married_Couple,Five_Plus_Bedrooms,Four_Bedrooms,Hispanic_Latino,Households_No_Children_Under_18,Households_With_Children_Under_18,Income_100K_125K,Income_10K_15K,Income_125K_150K,Income_150K_200K,Income_15K_20K,Income_200K_Plus,Income_20K_25K,Income_25K_30K,Income_30K_35K,Income_35K_40K,Income_40K_45K,Income_45K_50K,Income_50K_60K,Income_60K_75K,Income_75K_100K,Income_Under_10K,Median_Gross_Rent,Median_Home_Value,Median_Household_Income,Median_Household_Income_All_Tenure,Median_Income_Owner_Occupied,Median_Income_Renter_Occupied,Mobile_Home,No_Bedroom,Nonfamily_Households,Nonfamily_Living_Alone,Nonfamily_Not_Alone,Occupied_Units,One_Bedroom,Other_Housing_Type,Owner_1_Person,Owner_2_Person,Owner_3_Person,Owner_4_Person,Owner_5_Person,Owner_6_Person,Owner_7_Plus_Person,Owner_Costs_1000_1499,Owner_Costs_1500_1999,Owner_Costs_2000_2999,Owner_Costs_300_599,Owner_Costs_600_999,Owner_Costs_Under_300,Owner_Occupied,Pop_12_14,Pop_15_17,Pop_3_4,Pop_5,Pop_6_11,Pop_Under_3,Rent_Burden_30_34_Pct,Rent_Burden_35_39_Pct,Rent_Burden_40_49_Pct,Rent_Burden_50_Plus_Pct,Renter_1_Person,Renter_2_Person,Renter_3_Person,Renter_4_Person,Renter_5_Person,Renter_6_Person,Renter_7_Plus_Person,Renter_Occupied,Single_Family_Attached,Single_Family_Detached,Three_Bedrooms,Total_Families,Total_Households,Total_Households_Children_Status,Total_Housing_Units,Total_Housing_Units_Check,Total_Occupied_Units,Total_Occupied_Units_Size,Total_Own_Children_Under_18,Total_Pop_Under_18,Total_Population,Two_Bedrooms,Units_10_19,Units_2,Units_20_49,Units_3_4,Units_50_Plus,Units_5_9,Vacant_Units,White_Alone,Percent_White,Percent_Black,Percent_Asian,Percent_Hispanic,Low_Income_Under_35K,Middle_Income_35K_100K,High_Income_100K_Plus,Percent_Low_Income_Under_35K,Percent_High_Income_100K_Plus,Percent_Family_Households,Percent_Single_Person_Households,Percent_Households_With_Children,Percent_Children_Married_Couple,Percent_Children_Single_Parent,Percent_Occupied,Percent_Vacant,Percent_Owner_Occupied,Percent_Renter_Occupied,Percent_Single_Family,Multi_Family_All_Units,Percent_Multi_Family_All,Percent_Built_2000_Plus,Percent_Built_Pre_1980,Two_Plus_Bedroom_Units,Percent_Two_Plus_Bedrooms,High_Rent_Burden_30_Plus_Units,High_Rent_Burden_50_Plus_Units,Percent_High_Rent_Burden_30_Plus,Percent_High_Rent_Burden_50_Plus
22033000100,"Census Tract 000100, East Baton Rouge Parish, Louisiana",0.0,651.0,0.0,0.0,0.0,0.0,0.0,35.0,285.0,43.0,1076.0,0.0,113.0,93.0,190.0,123.0,90.0,80.0,0.0,37.0,0.0,0.0,0.0,192.0,9.0,326.0,8.0,278.0,48.0,0.0,22.0,0.0,413.0,123.0,16.0,95.0,2.0,8.0,60.0,8.0,8.0,115.0,25.0,0.0,98.0,22.0,9.0,1.0,18.0,51.0,672.0,51500.0,28519.0,28519.0,29187.0,-666666666.0,80.0,0.0,210.0,208.0,2.0,536.0,140.0,0.0,305.0,187.0,42.0,0.0,42.0,145.0,9.0,231.0,231.0,0.0,305.0,0.0,305.0,305.0,66.0,1.0,43.0,41.0,6.0,199.0,45.0,0.0,0.0,53.0,9.0,136.0,8.0,128.0,118.0,231.0,139.0,231.0,0.0,575.0,293.0,326.0,536.0,536.0,726.0,726.0,536.0,536.0,192.0,199.0,1120.0,271.0,0.0,71.0,0.0,0.0,0.0,0.0,190.0,5.0,0.4464285714285714,96.07142857142857,0.0,0.0,354.0,148.0,34.0,66.04477611940298,6.343283582089552,60.820895522388064,38.80597014925373,22.94776119402985,0.0,100.0,73.82920110192838,26.170798898071624,56.90298507462687,43.09701492537313,79.20110192837465,71.0,9.77961432506887,5.096418732782369,71.48760330578511,586.0,80.71625344352617,98.0,53.0,42.42424242424242,22.943722943722943
22033000200,"Census Tract 000200, East Baton Rouge Parish, Louisiana",0.0,3676.0,3.0,73.0,54.0,0.0,0.0,244.0,1620.0,164.0,6244.0,37.0,175.0,183.0,169.0,1000.0,301.0,0.0,140.0,915.0,0.0,134.0,0.0,1979.0,93.0,1451.0,13.0,1050.0,401.0,58.0,58.0,74.0,1589.0,839.0,0.0,545.0,83.0,42.0,92.0,13.0,504.0,172.0,106.0,135.0,47.0,165.0,193.0,46.0,51.0,234.0,653.0,110900.0,22263.0,22263.0,42083.0,20944.0,0.0,105.0,977.0,817.0,160.0,2428.0,618.0,0.0,571.0,391.0,225.0,0.0,225.0,166.0,15.0,1857.0,1845.0,12.0,571.0,0.0,571.0,571.0,436.0,256.0,297.0,100.0,177.0,2409.0,35.0,310.0,299.0,447.0,15.0,151.0,3.0,148.0,180.0,1857.0,1060.0,1857.0,143.0,1323.0,1254.0,1451.0,2428.0,2428.0,2920.0,2920.0,2428.0,2428.0,2113.0,2409.0,6625.0,827.0,220.0,0.0,501.0,192.0,232.0,309.0,492.0,102.0,1.539622641509434,94.24905660377358,0.045283018867924525,1.1169811320754717,1653.0,637.0,138.0,68.08072487644151,5.683690280065898,59.76112026359144,33.64909390444811,34.55518945634267,6.341694273544723,93.65830572645528,83.15068493150685,16.84931506849315,23.517298187808898,76.4827018121911,50.20547945205479,1454.0,49.794520547945204,36.13013698630137,53.56164383561644,2197.0,75.23972602739725,1091.0,447.0,58.75067312870221,24.07108239095315
22033000300,"Census Tract 000300, East Baton Rouge Parish, Louisiana",0.0,622.0,0.0,55.0,17.0,0.0,0.0,11.0,323.0,20.0,1076.0,34.0,179.0,85.0,78.0,129.0,69.0,0.0,77.0,60.0,0.0,0.0,0.0,152.0,23.0,158.0,0.0,147.0,11.0,0.0,17.0,0.0,435.0,108.0,0.0,48.0,3.0,0.0,14.0,5.0,61.0,54.0,19.0,24.0,0.0,8.0,75.0,80.0,15.0,137.0,1005.0,77400.0,25757.0,25757.0,55163.0,-666666666.0,26.0,14.0,385.0,378.0,7.0,543.0,51.0,0.0,213.0,60.0,11.0,0.0,11.0,49.0,0.0,330.0,330.0,0.0,213.0,0.0,213.0,213.0,0.0,11.0,30.0,20.0,0.0,183.0,73.0,8.0,16.0,126.0,0.0,49.0,37.0,12.0,153.0,330.0,98.0,330.0,8.0,541.0,341.0,158.0,543.0,543.0,711.0,711.0,543.0,543.0,152.0,185.0,1103.0,288.0,0.0,53.0,0.0,67.0,0.0,16.0,168.0,9.0,0.8159564823209429,97.55213055303717,0.0,0.0,333.0,202.0,8.0,61.32596685082873,1.4732965009208103,29.097605893186003,69.61325966850829,19.88950276243094,0.0,100.0,76.37130801687763,23.628691983122362,39.226519337016576,60.773480662983424,77.21518987341773,136.0,19.12798874824191,19.268635724331926,71.0267229254571,646.0,90.85794655414908,223.0,126.0,67.57575757575758,38.18181818181819
22033000400,"Census Tract 000400, East Baton Rouge Parish, Louisiana",17.0,1655.0,9.0,0.0,15.0,0.0,20.0,20.0,319.0,0.0,2061.0,0.0,101.0,391.0,248.0,154.0,84.0,23.0,36.0,0.0,50.0,36.0,21.0,197.0,17.0,386.0,32.0,247.0,139.0,41.0,184.0,38.0,680.0,175.0,31.0,124.0,16.0,42.0,78.0,36.0,107.0,44.0,36.0,44.0,50.0,20.0,28.0,43.0,65.0,91.0,978.0,177400.0,28578.0,28578.0,-666666666.0,30045.0,0.0,0.0,469.0,424.0,45.0,855.0,31.0,0.0,492.0,286.0,137.0,36.0,101.0,149.0,17.0,363.0,363.0,0.0,492.0,0.0,492.0,492.0,39.0,105.0,9.0,29.0,49.0,282.0,50.0,13.0,0.0,170.0,0.0,132.0,53.0,79.0,206.0,363.0,100.0,363.0,5.0,1003.0,436.0,386.0,855.0,855.0,1087.0,1087.0,855.0,855.0,254.0,282.0,2260.0,395.0,21.0,10.0,0.0,44.0,0.0,4.0,232.0,168.0,7.433628318584071,91.19469026548673,0.39823008849557523,1.6814159292035398,480.0,250.0,125.0,56.14035087719298,14.619883040935672,45.146198830409354,49.590643274853804,20.46783625730994,14.173228346456693,85.8267716535433,78.65685372585097,21.34314627414903,57.54385964912281,42.45614035087719,92.73229070837166,79.0,7.267709291628336,7.911683532658693,82.24471021159154,1056.0,97.148114075437,233.0,170.0,64.18732782369146,46.83195592286501
22033000500,"Census Tract 000500, East Baton Rouge Parish, Louisiana",104.0,1335.0,0.0,128.0,0.0,44.0,0.0,72.0,724.0,0.0,2871.0,239.0,224.0,446.0,373.0,234.0,35.0,43.0,0.0,24.0,0.0,0.0,91.0,451.0,133.0,648.0,12.0,459.0,189.0,0.0,55.0,7.0,875.0,238.0,12.0,196.0,13.0,0.0,128.0,12.0,147.0,39.0,72.0,72.0,86.0,15.0,45.0,62.0,45.0,169.0,790.0,80900.0,23303.0,23303.0,25379.0,22932.0,5.0,31.0,465.0,445.0,20.0,1113.0,77.0,0.0,368.0,204.0,139.0,0.0,139.0,65.0,6.0,745.0,718.0,27.0,361.0,7.0,368.0,368.0,76.0,206.0,104.0,18.0,28.0,648.0,22.0,7.0,100.0,333.0,0.0,59.0,0.0,59.0,164.0,745.0,444.0,745.0,16.0,1424.0,632.0,648.0,1113.0,1113.0,1618.0,1618.0,1113.0,1113.0,542.0,648.0,3024.0,823.0,30.0,80.0,0.0,63.0,0.0,0.0,505.0,98.0,3.2407407407407405,94.94047619047619,0.0,0.23148148148148145,751.0,325.0,37.0,67.47529200359389,3.324348607367475,58.22102425876011,39.98203054806828,21.38364779874214,0.0,100.0,68.78862793572311,31.211372064276887,33.06379155435759,66.93620844564241,88.99876390605687,173.0,10.69221260815822,1.4833127317676145,93.69592088998763,1510.0,93.32509270704573,462.0,333.0,62.01342281879194,44.69798657718121
22033000601,"Census Tract 000601, East Baton Rouge Parish, Louisiana",0.0,1335.0,0.0,87.0,0.0,0.0,20.0,40.0,696.0,21.0,2297.0,80.0,162.0,302.0,362.0,122.0,45.0,29.0,0.0,81.0,0.0,60.0,0.0,361.0,11.0,495.0,32.0,315.0,180.0,35.0,195.0,0.0,697.0,201.0,80.0,253.0,29.0,24.0,48.0,32.0,101.0,58.0,11.0,12.0,1.0,14.0,10.0,34.0,92.0,99.0,996.0,96900.0,21678.0,21678.0,-666666666.0,20515.0,0.0,70.0,403.0,387.0,16.0,898.0,80.0,0.0,578.0,248.0,106.0,0.0,106.0,142.0,11.0,320.0,320.0,0.0,578.0,0.0,578.0,578.0,54.0,251.0,21.0,0.0,20.0,533.0,28.0,35.0,21.0,147.0,11.0,131.0,14.0,117.0,330.0,320.0,247.0,320.0,0.0,937.0,625.0,495.0,898.0,898.0,1183.0,1183.0,898.0,898.0,421.0,533.0,2308.0,178.0,39.0,29.0,61.0,74.0,18.0,25.0,285.0,11.0,0.47660311958405543,99.52339688041594,0.0,0.0,570.0,163.0,165.0,63.474387527839646,18.374164810690424,55.122494432071264,43.09576837416481,22.383073496659243,14.251781472684085,85.74821852731591,75.90870667793745,24.091293322062555,64.3652561247216,35.634743875278396,79.20540997464074,246.0,20.794590025359255,6.846999154691462,86.89771766694844,1033.0,87.32037193575654,231.0,147.0,72.1875,45.9375
22033000602,"Census Tract 000602, East Baton Rouge Parish, Louisiana",62.0,2768.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,3541.0,67.0,115.0,641.0,518.0,166.0,34.0,193.0,0.0,21.0,0.0,58.0,26.0,371.0,144.0,840.0,0.0,674.0,166.0,0.0,187.0,61.0,1113.0,344.0,31.0,205.0,4.0,84.0,128.0,0.0,167.0,238.0,44.0,0.0,4.0,59.0,87.0,91.0,136.0,179.0,841.0,93900.0,25699.0,25699.0,29031.0,25099.0,47.0,66.0,617.0,617.0,0.0,1457.0,93.0,0.0,662.0,424.0,115.0,4.0,111.0,309.0,109.0,795.0,795.0,0.0,654.0,8.0,662.0,662.0,38.0,6.0,104.0,131.0,53.0,599.0,0.0,29.0,33.0,330.0,109.0,200.0,14.0,186.0,238.0,795.0,416.0,795.0,0.0,1463.0,738.0,840.0,1457.0,1457.0,1755.0,1755.0,1457.0,1457.0,455.0,599.0,3631.0,671.0,57.0,21.0,12.0,15.0,91.0,49.0,298.0,0.0,0.0,97.52134398237399,0.0,1.6799779675020654,961.0,377.0,119.0,65.95744680851064,8.167467398764584,57.65271105010296,42.34728894989705,23.61015785861359,12.747252747252746,87.25274725274726,83.01994301994301,16.98005698005698,45.43582704186685,54.56417295813315,83.36182336182335,245.0,13.96011396011396,1.1965811965811968,85.86894586894587,1596.0,90.94017094017094,392.0,330.0,49.308176100628934,41.509433962264154
22033000701,"Census Tract 000701, East Baton Rouge Parish, Louisiana",38.0,1168.0,0.0,53.0,34.0,11.0,0.0,133.0,607.0,43.0,1853.0,44.0,75.0,179.0,103.0,183.0,127.0,6.0,60.0,81.0,0.0,129.0,201.0,266.0,50.0,389.0,0.0,275.0,114.0,25.0,131.0,279.0,344.0,333.0,5.0,52.0,26.0,11.0,70.0,18.0,0.0,68.0,103.0,32.0,9.0,23.0,45.0,18.0,76.0,121.0,887.0,126600.0,30849.0,30849.0,52500.0,27944.0,79.0,80.0,288.0,255.0,33.0,677.0,88.0,0.0,268.0,175.0,83.0,10.0,73.0,92.0,50.0,409.0,409.0,0.0,268.0,0.0,268.0,268.0,79.0,153.0,191.0,41.0,69.0,773.0,37.0,28.0,63.0,205.0,12.0,42.0,40.0,2.0,93.0,409.0,214.0,409.0,10.0,512.0,296.0,389.0,677.0,677.0,858.0,858.0,677.0,677.0,596.0,773.0,2138.0,238.0,76.0,0.0,48.0,0.0,52.0,81.0,181.0,6.0,0.2806361085126286,86.66978484565014,0.0,13.04957904583723,414.0,203.0,60.0,61.15214180206795,8.862629246676514,57.459379615952734,37.66617429837518,49.18759231905465,21.644295302013422,78.35570469798657,78.9044289044289,21.095571095571096,39.5864106351551,60.4135893648449,60.83916083916085,257.0,29.953379953379955,16.433566433566433,68.06526806526807,690.0,80.41958041958041,333.0,205.0,81.41809290953546,50.12224938875306
22033000702,"Census Tract 000702, East Baton Rouge Parish, Louisiana",55.0,2438.0,47.0,0.0,0.0,21.0,0.0,27.0,318.0,0.0,3063.0,0.0,162.0,135.0,578.0,199.0,88.0,74.0,47.0,75.0,5.0,41.0,68.0,802.0,75.0,735.0,0.0,616.0,119.0,12.0,66.0,95.0,685.0,508.0,44.0,37.0,20.0,22.0,20.0,0.0,43.0,166.0,53.0,135.0,90.0,85.0,200.0,122.0,62.0,94.0,907.0,112400.0,41394.0,41394.0,50091.0,39205.0,5.0,55.0,458.0,427.0,31.0,1193.0,222.0,0.0,507.0,344.0,104.0,12.0,92.0,240.0,20.0,686.0,686.0,0.0,507.0,0.0,507.0,507.0,173.0,176.0,203.0,85.0,94.0,1050.0,205.0,33.0,9.0,78.0,20.0,220.0,123.0,97.0,163.0,686.0,391.0,686.0,0.0,924.0,715.0,735.0,1193.0,1193.0,1363.0,1363.0,1193.0,1193.0,911.0,1050.0,3288.0,293.0,126.0,0.0,98.0,4.0,206.0,0.0,170.0,74.0,2.2506082725060828,93.15693430656934,1.4294403892944039,2.889294403892944,413.0,694.0,86.0,34.61860854987427,7.208717518860016,61.60938809723386,35.7921207041073,42.58172673931266,4.500548847420418,95.49945115257958,87.52751283932501,12.472487160674982,42.49790444258173,57.50209555741827,67.7916360968452,434.0,31.841526045487896,9.317681584739546,78.79677182685253,1086.0,79.67718268525313,325.0,78.0,47.376093294460645,11.370262390670554
22033000900,"Census Tract 000900, East Baton Rouge Parish, Louisiana",4.0,2665.0,0.0,0.0,51.0,0.0,0.0,79.0,557.0,0.0,3225.0,152.0,282.0,610.0,509.0,82.0,46.0,0.0,64.0,78.0,0.0,108.0,0.0,111.0,115.0,831.0,0.0,503.0,328.0,0.0,115.0,90.0,1156.0,216.0,39.0,155.0,131.0,111.0,171.0,0.0,116.0,26.0,21.0,89.0,15.0,96.0,35.0,60.0,212.0,95.0,1073.0,97200.0,42167.0,42167.0,39943.0,47754.0,13.0,49.0,541.0,500.0,41.0,1372.0,224.0,0.0,799.0,516.0,139.0,0.0,139.0,377.0,105.0,573.0,527.0,46.0,799.0,0.0,799.0,799.0,164.0,129.0,150.0,87.0,0.0,669.0,0.0,93.0,13.0,183.0,105.0,272.0,25.0,247.0,283.0,573.0,315.0,573.0,102.0,1585.0,995.0,831.0,1372.0,1372.0,1823.0,1823.0,1372.0,1372.0,219.0,669.0,3561.0,440.0,0.0,112.0,0.0,11.0,0.0,0.0,451.0,37.0,1.0390339792193204,90.56444818871103,0.0,2.527379949452401,584.0,507.0,281.0,42.565597667638485,20.481049562682216,60.56851311953353,36.44314868804665,15.743440233236154,49.31506849315068,50.68493150684932,75.26055951727922,24.73944048272079,58.23615160349854,41.76384839650146,92.53976961053209,123.0,6.7471201316511245,7.789358200767965,89.68732857926494,1550.0,85.0246845858475,289.0,183.0,50.43630017452006,31.93717277486911
